#	(0,0)	(1,0)	(-1,0)	(2,0)	(-2,0)	(3,0)	(-3,0)	(4,0)	(-4,0)	(5,0)	(-5,0)	(6,0)	(-6,0)	(7,0)	(-7,0)	(8,0)	(-8,0)	(9,0)	(-9,0)	(10,0)	(-10,0)	(11,0)	(-11,0)	(12,0)	(-12,0)	(13,0)	(-13,0)
0.25	0.46107872459217	0	4.336808689942e-019	0	-2.1175823681358e-022	-3.3881317890172e-021	3.3881317890172e-021	0	-6.6174449004242e-024	0	0	0	2.0679515313826e-025	-1.0587911840679e-022	0	2.5849394142282e-026	-2.5849394142282e-026	2.6469779601697e-023	0	0	6.4623485355705e-027	-6.6174449004242e-024	0	-1.6155871338926e-027	0	0	0
0.255	0.47221873477615	4.336808689942e-019	0	0	0	-6.7762635780344e-021	0	-3.3087224502121e-024	0	0	0	0	-2.0679515313826e-025	-1.0587911840679e-022	1.0587911840679e-022	0	-2.5849394142282e-026	-2.6469779601697e-023	0	0	-6.4623485355705e-027	-6.6174449004242e-024	0	-1.6155871338926e-027	3.2311742677853e-027	0	3.3087224502121e-024
0.26	0.48490833279326	0	8.673617379884e-019	-4.2351647362715e-022	0	-6.7762635780344e-021	0	-6.6174449004242e-024	0	-4.2351647362715e-022	-4.2351647362715e-022	4.1359030627651e-025	0	0	0	0	0	-2.6469779601697e-023	0	1.2924697071141e-026	-1.2924697071141e-026	0	0	0	0	3.3087224502121e-024	0
0.265	0.49926042459202	-8.673617379884e-019	-8.673617379884e-019	8.470329472543e-022	0	-6.7762635780344e-021	6.7762635780344e-021	0	0	-4.2351647362715e-022	-4.2351647362715e-022	0	-4.1359030627651e-025	-1.0587911840679e-022	0	0	0	-2.6469779601697e-023	0	0	-1.2924697071141e-026	-1.3234889800848e-023	0	-3.2311742677853e-027	0	6.6174449004242e-024	0
0.27	0.51539490242097	0	0	0	0	-6.7762635780344e-021	0	1.3234889800848e-023	0	-8.470329472543e-022	-8.470329472543e-022	-8.2718061255303e-025	-8.2718061255303e-025	0	0	1.0339757656913e-025	1.0339757656913e-025	0	0	-1.2924697071141e-026	-1.2924697071141e-026	-1.3234889800848e-023	0	6.4623485355705e-027	6.4623485355705e-027	6.6174449004242e-024	6.6174449004242e-024
0.275	0.53343582436545	-1.7347234759768e-018	1.7347234759768e-018	0	1.6940658945086e-021	0	-1.3552527156069e-020	0	-1.3234889800848e-023	-8.470329472543e-022	0	0	0	1.0587911840679e-022	1.0587911840679e-022	0	0	0	0	0	0	1.3234889800848e-023	1.3234889800848e-023	0	0	6.6174449004242e-024	0
0.28	0.55350690743047	0	0	-1.6940658945086e-021	0	-1.3552527156069e-020	0	-1.3234889800848e-023	0	0	0	0	0	0	0	1.0339757656913e-025	-1.0339757656913e-025	5.2939559203394e-023	-5.2939559203394e-023	0	-2.5849394142282e-026	0	1.3234889800848e-023	0	0	0	0
0.285	0.57572469342222	0	0	0	1.6940658945086e-021	0	-1.3552527156069e-020	-2.6469779601697e-023	-2.6469779601697e-023	-8.470329472543e-022	-8.470329472543e-022	1.6543612251061e-024	0	0	0	0	0	-5.2939559203394e-023	-5.2939559203394e-023	2.5849394142282e-026	-2.5849394142282e-026	-2.6469779601697e-023	0	1.2924697071141e-026	0	6.6174449004242e-024	6.6174449004242e-024
0.29	0.6001885884185	0	0	-3.3881317890172e-021	0	0	-1.3552527156069e-020	0	0	0	1.6940658945086e-021	-1.6543612251061e-024	-1.6543612251061e-024	0	0	-2.0679515313826e-025	0	0	0	-5.1698788284564e-026	0	-2.6469779601697e-023	0	0	0	0	6.6174449004242e-024
0.295	0.6269668341074	0	0	-3.3881317890172e-021	-3.3881317890172e-021	0	0	-2.6469779601697e-023	-2.6469779601697e-023	0	8.470329472543e-022	1.6543612251061e-024	1.6543612251061e-024	-2.1175823681358e-022	-2.1175823681358e-022	0	0	5.2939559203394e-023	5.2939559203394e-023	-5.1698788284564e-026	-5.1698788284564e-026	2.6469779601697e-023	0	-1.2924697071141e-026	-1.2924697071141e-026	0	0
0.3	0.65607739861378	0	0	-3.3881317890172e-021	3.3881317890172e-021	0	-1.3552527156069e-020	5.2939559203394e-023	0	1.6940658945086e-021	-1.6940658945086e-021	0	-3.3087224502121e-024	0	0	0	0	-5.2939559203394e-023	0	0	-5.1698788284564e-026	-2.6469779601697e-023	0	0	0	1.3234889800848e-023	1.3234889800848e-023
0.305	0.68746287479823	-3.4694469519536e-018	0	-6.7762635780344e-021	0	0	0	5.2939559203394e-023	5.2939559203394e-023	0	-1.6940658945086e-021	0	3.3087224502121e-024	0	-2.1175823681358e-022	4.1359030627651e-025	0	0	-1.0587911840679e-022	0	-1.0339757656913e-025	2.6469779601697e-023	0	0	0	0	-1.3234889800848e-023
0.31	0.72095890276518	0	3.4694469519536e-018	-6.7762635780344e-021	1.3552527156069e-020	1.3552527156069e-020	0	-5.2939559203394e-023	5.2939559203394e-023	-1.6940658945086e-021	1.6940658945086e-021	3.3087224502121e-024	3.3087224502121e-024	2.1175823681358e-022	-2.1175823681358e-022	0	-4.1359030627651e-025	0	0	0	0	0	2.6469779601697e-023	-2.5849394142282e-026	-2.5849394142282e-026	-1.3234889800848e-023	0
0.315	0.75625661031072	-3.4694469519536e-018	0	1.3552527156069e-020	1.3552527156069e-020	0	-2.7105054312138e-020	0	0	1.6940658945086e-021	-1.6940658945086e-021	3.3087224502121e-024	-3.3087224502121e-024	0	2.1175823681358e-022	-8.2718061255303e-025	0	0	0	0	-1.0339757656913e-025	0	0	2.5849394142282e-026	0	0	1.3234889800848e-023
